"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2026-03-20T19:52:11.493Z,Album,"Harry Styles - Kiss All The Time. Disco, Occasionally.","Harry Styles - Coming Up Roses",false,"United States",1870984032,1870984045,"home / playlist_detail",2026-03-20T19:52:11.493Z,TRACK_SKIPPED_FORWARDS,2026-03-22T23:51:53.783Z,2026-03-22T23:51:53.941Z,2026-03-22T23:51:44.562Z,41411,41348,248866,AUDIO,0,5,5,114369
2026-03-22T06:27:26.842Z,Album,"Taylor Swift - Anti-Hero (feat. Bleachers) - Single","Taylor Swift - Anti-Hero",false,"United States",1653491121,1653491133,"home / artist_detail",2026-03-22T06:27:26.842Z,PLAYBACK_MANUALLY_PAUSED,2026-03-22T06:37:35.386Z,2026-03-22T06:37:35.497Z,2026-03-22T06:34:35.896Z,200734,200594,200734,AUDIO,0,1,0,380084
2026-03-22T06:23:38.271Z,Album,"Taylor Swift - Anti-Hero (feat. Bleachers) - Single","Taylor Swift - Anti-Hero (feat. Bleachers)",false,"United States",1653491121,1653491127,"home / artist_detail",2026-03-22T06:23:38.271Z,NATURAL_END_OF_TRACK,2026-03-22T06:34:35.837Z,2026-03-22T06:34:35.926Z,2026-03-22T06:30:47.445Z,228441,228554,228441,AUDIO,0,2,0,456946
2026-03-22T06:22:19.990Z,N/A,N/A,"Bleachers - Everybody Lost Somebody",false,"United States",N/A,1225759940,"home / artist_detail",2026-03-22T06:22:19.990Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2026-03-22T06:23:37.496Z,2026-03-22T06:23:38.270Z,2026-03-22T06:22:19.990Z,77266,77506,235000,AUDIO,0,1,1,77506
2026-03-22T06:21:50.070Z,N/A,N/A,"Bleachers - Rollercoaster",false,"United States",N/A,884282120,"home / artist_detail",2026-03-22T06:21:50.070Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2026-03-22T06:22:19.531Z,2026-03-22T06:22:20.130Z,2026-03-22T06:21:50.070Z,29232,29461,188000,AUDIO,0,1,1,29461
2026-03-22T06:21:13.239Z,N/A,N/A,"Bleachers - Modern Girl",false,"United States",N/A,1702583449,"home / artist_detail",2026-03-22T06:21:13.239Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2026-03-22T06:21:49.225Z,2026-03-22T06:21:49.963Z,2026-03-22T06:21:13.239Z,35784,35986,223000,AUDIO,0,1,1,35986
2026-03-22T06:20:20.482Z,N/A,N/A,"Bleachers - Don't Take the Money",false,"United States",N/A,1225759939,"home / artist_detail",2026-03-22T06:20:20.482Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2026-03-22T06:21:12.630Z,2026-03-22T06:21:13.249Z,2026-03-22T06:20:20.482Z,51926,52148,215000,AUDIO,0,1,1,52148
2026-03-22T06:18:39.965Z,N/A,N/A,"Bleachers - Tiny Moves",false,"United States",N/A,1712730492,"home / grouping",2026-03-22T06:18:39.965Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2026-03-22T06:20:19.638Z,2026-03-22T06:20:20.488Z,2026-03-22T06:18:39.965Z,99478,99673,228000,AUDIO,0,1,1,99673
2026-03-20T06:55:54.202Z,Playlist,N/A,"Zara Larsson - Lush Life",false,"United States","pl.pm-01ed408c735a7f33840ff8e1e2e3a28a",1201058113,"home / playlist_detail",2026-03-20T06:55:54.202Z,NATURAL_END_OF_TRACK,2026-03-22T04:54:20.843Z,2026-03-22T04:54:20.890Z,2026-03-22T04:50:59.857Z,200730,200986,200730,AUDIO,0,3,0,602704
2026-03-22T03:47:53.209Z,Album,"Bleachers - Bleachers","Bleachers - I Am Right On Time",false,"United States",1712730224,1712730484,"home / grouping",2026-03-22T03:47:53.209Z,PLAYBACK_MANUALLY_PAUSED,2026-03-22T03:48:21.062Z,2026-03-22T03:48:21.072Z,2026-03-22T03:47:53.209Z,27738,27853,211000,AUDIO,0,1,0,27853
2026-03-22T03:47:45.877Z,Album,"Gracie Abrams - The Secret of Us (Deluxe)","Gracie Abrams - Felt Good About You",false,"United States",1773473685,1773473686,"home / grouping",2026-03-22T03:47:45.877Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2026-03-22T03:47:52.664Z,2026-03-22T03:47:53.216Z,2026-03-22T03:47:45.877Z,6586,6787,164000,AUDIO,0,1,1,6787
2026-03-20T15:23:15.777Z,Album,"Taylor Swift - Lover","Taylor Swift - I Forgot That You Existed",false,"United States",1468058165,1468058169,"home / grouping",2026-03-20T15:23:15.777Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2026-03-22T03:47:45.111Z,2026-03-22T03:47:45.916Z,2026-03-22T03:47:22.285Z,65427,65342,170000,AUDIO,0,2,2,88168
2026-03-15T23:43:59.830Z,Album,"Taylor Swift - The Life of a Showgirl","Taylor Swift - Ruin The Friendship",false,"United States",1838810949,1838810957,"home / grouping",2026-03-15T23:43:59.830Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2026-03-22T03:08:11.524Z,2026-03-22T03:08:12.468Z,2026-03-22T03:06:44.473Z,220616,220577,220608,AUDIO,0,5,2,754734
2026-03-15T23:44:10.341Z,Album,"Taylor Swift - The Life of a Showgirl","Taylor Swift - Eldest Daughter",false,"United States",1838810949,1838810956,"home / grouping",2026-03-15T23:44:10.341Z,NATURAL_END_OF_TRACK,2026-03-22T03:06:44.585Z,2026-03-22T03:06:44.608Z,2026-03-22T03:02:38.227Z,246400,246359,246400,AUDIO,0,5,2,788694
2026-03-15T23:36:55.540Z,Album,"Taylor Swift - The Life of a Showgirl","Taylor Swift - Father Figure",false,"United States",1838810949,1838810955,"home / grouping",2026-03-15T23:36:55.540Z,NATURAL_END_OF_TRACK,2026-03-22T03:02:38.200Z,2026-03-22T03:02:38.213Z,2026-03-22T02:59:05.431Z,212836,213005,212821,AUDIO,0,9,2,1645784
2026-03-15T23:44:09.129Z,Album,"Taylor Swift - The Life of a Showgirl","Taylor Swift - Opalite",false,"United States",1838810949,1838810953,"home / grouping",2026-03-15T23:44:09.129Z,NATURAL_END_OF_TRACK,2026-03-22T02:59:05.417Z,2026-03-22T02:59:05.438Z,2026-03-22T02:55:10.068Z,235436,235349,235399,AUDIO,0,8,5,1171521
2026-03-21T03:13:34.984Z,Album,"Taylor Swift - The Life of a Showgirl","Taylor Swift - The Life of a Showgirl (feat. Sabrina Carpenter)",false,"United States",1838810949,1838810964,"home / grouping",2026-03-21T03:13:34.984Z,NATURAL_END_OF_TRACK,2026-03-22T02:47:55.807Z,2026-03-22T02:47:55.828Z,2026-03-22T02:43:54.046Z,241810,241762,241810,AUDIO,0,4,0,966931
2026-03-15T23:44:06.011Z,Album,"Taylor Swift - The Life of a Showgirl","Taylor Swift - Honey",false,"United States",1838810949,1838810963,"home / grouping",2026-03-15T23:44:06.011Z,NATURAL_END_OF_TRACK,2026-03-22T02:43:53.934Z,2026-03-22T02:43:53.957Z,2026-03-22T02:40:52.489Z,181587,192614,181578,AUDIO,0,5,2,570176
2026-03-15T23:44:11.537Z,Album,"Taylor Swift - The Life of a Showgirl","Taylor Swift - Wood",false,"United States",1838810949,1838810960,"home / grouping",2026-03-15T23:44:11.537Z,NATURAL_END_OF_TRACK,2026-03-22T02:16:08.642Z,2026-03-22T02:16:08.659Z,2026-03-22T02:13:38.128Z,150593,150514,150561,AUDIO,0,5,3,427680
2026-03-16T01:51:32.349Z,Album,"Taylor Swift - The Life of a Showgirl","Taylor Swift - Wi$h Li$t",false,"United States",1838810949,1838810959,"home / grouping",2026-03-16T01:51:32.349Z,NATURAL_END_OF_TRACK,2026-03-22T02:13:38.121Z,2026-03-22T02:13:38.168Z,2026-03-22T02:10:10.773Z,207412,207348,207393,AUDIO,0,3,0,769041
