Country,"Track Identifier","Media type","Date Played",Hours,"Play Duration Milliseconds","End Reason Type","Source Type","Play Count","Skip Count","Ignore For Recommendations","Track Reference","Track Description"
"United States",1689131532,AUDIO,20250112,2,218270,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1689131532,"Taylor Swift - Maroon"
"United States",1689131531,AUDIO,20250112,2,202396,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1689131531,"Taylor Swift - Lavender Haze"
"United States",1689131533,AUDIO,20250112,2,200690,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1689131533,"Taylor Swift - Anti-Hero"
"United States",1689131956,AUDIO,20250112,2,100066,PLAYBACK_SUSPENDED,IPHONE,1,0,false,1689131956,"Taylor Swift - You're On Your Own, Kid"
"United States",1784926292,AUDIO,20250112,1,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1784926292,"Jung Jae Il - Way Forward"
"United States",1784926292,AUDIO,20250113,12,244000,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1784926292,"Jung Jae Il - Way Forward"
"United States",1784926296,AUDIO,20250113,18,145943,PLAYBACK_SUSPENDED,IPHONE,1,0,false,1784926296,"Jung Jae Il - You're Nothing but a Puppet"
"United States",1784926295,AUDIO,20250113,12,114851,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,false,1784926295,"Jung Jae Il - O X I"
"United States",1689131968,AUDIO,20250115,18,247962,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1689131968,"Taylor Swift - Labyrinth"
"United States",1689131976,AUDIO,20250115,17,240467,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1689131976,"Taylor Swift - The Great War"
"United States",1689131531,AUDIO,20250115,"17, 18",202395,NATURAL_END_OF_TRACK,IPHONE,1,1,false,1689131531,"Taylor Swift - Lavender Haze"
"United States",1702583449,AUDIO,20250115,15,128144,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,1702583449,"Bleachers - Modern Girl"
"United States",1689131965,AUDIO,20250115,18,45503,PLAYBACK_SUSPENDED,IPHONE,1,0,false,1689131965,"Taylor Swift - Bejeweled"
"United States",1689132080,AUDIO,20250115,18,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1689132080,"Taylor Swift - Snow On The Beach (feat. More Lana Del Rey)"
